group,litter_number,gd0_weight,gd18_weight,gd_of_birth,pups_born_alive,pups_dead_birth,wt_gain
con7,#85,19.7,34.7,20,3,4,15.000000000000004
con7,#1/2/95/2,27,42,19,8,0,15
con7,#5/5/3/83/3-3,26,41.4,19,6,0,15.399999999999999
con7,#5/4/2/95/2,28.5,44.1,19,5,1,15.600000000000001
mod7,#59,17,33.4,19,8,0,16.4
mod7,#103,21.4,42.1,19,9,1,20.700000000000003
mod7,#3/82/3-2,28,45.9,20,5,0,17.9
mod7,#5/3/83/5-2,22.6,37,19,5,0,14.399999999999999
mod7,#106,21.7,37.8,20,5,0,16.099999999999998
mod7,#94/2,24.4,42.9,19,7,1,18.5
mod7,#62,19.5,35.9,19,7,2,16.4
low7,#84/2,24.3,40.8,20,8,0,16.499999999999996
low7,#107,22.6,42.4,20,9,0,19.799999999999997
low7,#85/2,22.2,38.5,20,8,0,16.3
low7,#98,23.8,43.8,20,9,0,19.999999999999996
low7,#102,22.6,43.3,20,11,0,20.699999999999996
low7,#101,23.8,42.7,20,9,0,18.900000000000002
low7,#111,25.5,44.6,20,3,2,19.1
low7,#112,23.9,40.5,19,6,1,16.6
mod8,#97,24.5,42.8,20,8,1,18.299999999999997
mod8,#7/82-3-2,26.9,43.2,20,7,0,16.300000000000004
mod8,#7/110/3-2,27.5,46,19,8,1,18.5
mod8,#2/95/2,28.5,44.5,20,9,0,16
mod8,#82/4,33.4,52.7,20,8,0,19.300000000000004
low8,#53,21.8,37.2,20,8,1,15.400000000000002
low8,#79,25.4,43.8,19,8,0,18.4
low8,#100,20,39.2,20,8,0,19.200000000000003
low8,#4/84,21.8,35.2,20,4,0,13.400000000000002
low8,#108,25.6,47.5,20,8,0,21.9
low8,#99,23.5,39,20,6,0,15.5
low8,#110,25.5,42.7,20,7,0,17.200000000000003
